workload_id,model,batch,imgsz,amp,max_iters,warmup_iters,nbs
C01,yolo26n.yaml,4,320,false,128,20,4
C02,yolo26n.yaml,8,320,false,128,20,8
C03,yolo26n.yaml,16,320,false,128,20,16
C04,yolo26n.yaml,32,320,false,128,20,32
C05,yolo26n.yaml,4,480,false,128,20,4
C06,yolo26n.yaml,8,480,false,128,20,8
C07,yolo26n.yaml,16,480,false,128,20,16
C08,yolo26n.yaml,32,480,false,128,20,32
C09,yolo26n.yaml,4,640,false,128,20,4
C10,yolo26n.yaml,8,640,false,128,20,8
C11,yolo26n.yaml,16,640,false,128,20,16
C12,yolo26n.yaml,32,640,false,128,20,32
C13,yolo26n.yaml,4,320,true,128,20,4
C14,yolo26n.yaml,8,320,true,128,20,8
C15,yolo26n.yaml,16,320,true,128,20,16
C16,yolo26n.yaml,32,320,true,128,20,32
C17,yolo26n.yaml,4,480,true,128,20,4
C18,yolo26n.yaml,8,480,true,128,20,8
C19,yolo26n.yaml,16,480,true,128,20,16
C20,yolo26n.yaml,32,480,true,128,20,32
C21,yolo26n.yaml,4,640,true,128,20,4
C22,yolo26n.yaml,8,640,true,128,20,8
C23,yolo26n.yaml,16,640,true,128,20,16
C24,yolo26n.yaml,32,640,true,128,20,32
